Country,Continent,GDI,Viol_Pareja,Embarazo_A,Ratio
Afghanistan,Asia,"0,723",50.8,69.0,396
Albania,Europa,"0,971",21.0,19.6,29
Angola,Africa,"0,902",34.8,150.5,477
Argentina,America,"0,988",26.9,62.8,52
Armenia,Asia,"0,972",8.2,21.5,25
Australia,Oceania,"0,975",22.8,11.7,6
Austria,Europa,"0,963",13.0,7.3,4
Azerbaijan,Asia,"0,94",13.5,55.8,25
Bangladesh,Asia,"0,895",54.2,83.0,176
Barbados,America,"1,01",30,33.5,27
Belgium,Europa,"0,972",24.0,4.7,7
Belize,America,"0,983",22.2,68.5,28
Benin,Africa,"0,883",23.8,86.1,405
Bhutan,Asia,"0,893",15.1,20.2,148
Bolivia,America,"0,936",58.5,64.9,206
Bosnia and Herzegovina,Europa,"0,924",11.0,9.6,11
Brazil,America,"0,995",16.7,59.1,44
Burkina Faso,Africa,"0,875",11.5,104.3,371
Burundi,Africa,"1,003",48.5,55.6,712
Cabo Verde,Africa,"0,984",12.6,73.8,42
Cambodia,Asia,"0,919",20.9,50.2,161
Cameroon,Africa,"0,869",51.1,105.8,596
Canada,America,"0,989",7,8.4,7
Central African Republic,Africa,"0,795",29.8,129.1,882
Chad,Africa,"0,774",28.6,161.1,856
Chile,America,"0,962",15,41.1,22
China,Asia,"0,961",15.4,7.6,27
Colombia,America,"0,986",33.3,66.7,64
Comoros,Africa,"0,888",6.4,65.4,335
Congo,Africa,"0,931",35.3,112.2,442
Costa Rica,America,"0,977",35.9,53.5,25
Cote D'ivoire,Africa,"0,796",25.9,117.6,645
Croatia,Europa,"0,989",13.0,8.7,8
Cyprus,Asia,"0,983",15.0,4.6,7
Czech Republic,Europa,"0,983",21.0,12.0,4
Democratic Republic of Congo,Africa,"0,844",50.7,124.2,693
Denmark,Europa,"0,98",32.0,4.1,6
Dominican Republic,America,"1,003",28.5,94.3,92
Ecuador,America,"0,98",40.4,79.3,64
Egypt,Africa,"0,878",25.6,53.8,33
El Salvador,America,"0,969",14.3,69.5,54
Estonia,Europa,"1,016",20.0,7.7,9
Ethiopia,Africa,"0,844",28.0,66.7,353
Finland,Europa,"0,99",30.0,5.8,3
France,Europa,"0,984",26.0,4.7,8
Gabon,Africa,"0,917",48.6,96.2,291
Gambia,Africa,"0,832",20.1,78.2,706
Georgia,Asia,"0,979",6.0,46.4,36
Germany,Europa,"0,968",22.0,8.1,6
Ghana,Africa,"0,912",24.4,66.6,319
Greece,Europa,"0,963",19.0,7.2,3
Guatemala,America,"0,943",21.2,70.9,88
Haiti,America,"0,89",26.0,51.7,359
Honduras,America,"0,97",27.8,72.9,129
Hungary,Europa,"0,984",21.0,24.0,17
Iceland,Europa,"0,966",22.4,6.3,3
India,Asia,"0,829",28.8,13.2,174
Indonesia,Asia,"0,937",18.3,47.4,126
Ireland,Europa,"0,975",15.0,7.5,8
Italy,Europa,"0,967",19.0,5.2,4
Jamaica,America,"0,986",27.8,52.8,89
Japan,Asia,"0,976",15.4,3.8,5
Jordan,Asia,"0,868",19.0,25.9,58
Kazakhstan,Asia,"0,999",16.5,29.8,12
Kenya,Africa,"0,933",40.7,75.1,510
Kyrgyzstan,Asia,"0,959",26.6,32.8,76
Lao,Asia,"0,929",15.3,65.4,197
Latvia,Europa,"1,03",32.0,16.2,18
Liberia,Africa,"0,899",38.5,136.0,725
Lithuania,Europa,"1,028",24.0,10.9,10
Luxembourg,Europa,"0,97",22.0,4.7,10
Malawi,Africa,"0,93",37.5,132.7,634
Maldives,Asia,"0,939",16.3,7.8,68
Mali,Africa,"0,807",35.5,169.1,587
Malta,Europa,"0,965",15.0,12.9,9
Mexico,America,"0,957",24.6,60.4,38
Mongolia,Asia,"1,031",31.2,31.0,44
Montenegro,Europa,"0,966",17.0,9.3,7
Morocco,Africa,"0,833",6.4,31.0,121
Mozambique,Africa,"0,901",21.7,148.6,489
Myanmar,Asia,"0,953",17.3,28.5,178
Namibia,Africa,"1,009",26.7,63.6,265
Nepal,Asia,"0,897",25.0,65.1,258
Netherlands,Europa,"0,967",25.0,3.8,7
New Zealand,Oceania,"0,963",14.1,19.3,11
Nicaragua,America,"1,013",22.5,85.0,150
Nigeria,Africa,"0,868",17.4,107.3,814
North Macedonia,Europa,"0,947",10.0,15.7,8
Norway,Europa,"0,99",27.0,5.1,5
Pakistan,Asia,"0,747",24.5,38.8,178
Panama,America,"1,005",14.4,81.8,94
Paraguay,America,"0,968",20.4,70.5,132
Peru,America,"0,951",31.2,56.9,68
Philippines,Asia,"1,004",14.8,54.2,114
Poland,Europa,"1,009",13.0,10.5,3
Portugal,Europa,"0,984",19.0,8.4,10
Republic of Moldova,Europa,"1,007",34.0,22.4,23
Romania,Europa,"0,986",24.0,36.2,31
Russian Federation,Europa,"1,015",21,20.7,25
Rwanda,Africa,"0,943",37.1,39.1,290
Sao Tome and Principe,Africa,"0,9",27.9,94.6,156
Senegal,Africa,"0,873",21.5,72.7,315
Serbia,Europa,"0,976",17.0,14.7,17
Singapore,Asia,"0,988",6.1,3.5,10
Slovakia,Europa,"0,992",23.0,25.7,6
Slovenia,Europa,"1,003",13.0,3.8,9
South Africa,Africa,"0,984",21.3,67.9,138
Spain,Europa,"0,981",13.0,7.7,5
Sudan,Africa,"0,837",65,64.0,311
Sweden,Europa,"0,982",28.0,5.1,4
Switzerland,Europa,"0,963",46.2,2.8,5
Tajikistan,Asia,"0,799",58.3,57.1,32
Thailand,Asia,"0,995",41.1,44.9,20
Timor Leste,Asia,"0,899",58.8,33.8,215
Togo,Africa,"0,818",25.1,89.1,368
Tonga,Oceania,"0,944",39.6,14.7,124
Trinidad and Tobago,America,"1,002",30.2,30.1,63
Turkey,Asia,"0,924",38.0,26.6,16
Uganda,Africa,"0,863",49.9,118.8,343
Ukraine,Europa,"0,995",26.0,23.7,24
United Kingdom of Great Britain and Northern Ireland,Europa,"0,967",29.0,13.4,9
United States of America,America,"0,991",24.8,19.9,14
Uruguay,America,"1,016",16.8,58.7,15
Vietnam,Asia,"1,003",34.4,30.9,54
Zambia,Africa,"0,949",45.9,120.1,224
Zimbabwe,Africa,"0,925",37.6,86.1,443
